GAME,SOFTWARE,DEVELOPER,PUBLISHER
3on3 FreeStyle,XIGNCODE3,Joycity,Joycity
3on3 FreeStyle: Rebound,XIGNCODE3,Joycity,Joycity
7 Days to Die,Easy Anti-Cheat,The Fun Pimps,The Fun Pimps
9Dragons,nProtect GameGuard,JoongWon Games,RedFox Games
A.V.A,XIGNCODE3,Red Duck,Red Duck
A.V.A: Dog Tag ,BattlEye,Red Duck,Red Duck
Absolver,Easy Anti-Cheat,Sloclap,Devolver Digital
Aion,XIGNCODE3,NCSOFT,NCSOFT
Albion Online,Easy Anti-Cheat,Sandbox Interactive,Sandbox Interactive
America's Army,PunkBuster,United States Army,United States Army
America's Army 3,PunkBuster,United States Army,United States Army
America's Army: Proving Grounds,PunkBuster,United States Army,United States Army
ANVIL,XIGNCODE3,Action Square,Action Square
APB Reloaded,BattlEye,Little Orbit,Little Orbit
Apex Legends,Easy Anti-Cheat,Respawn Entertainment,Electronic Arts
ArcheAge,Easy Anti-Cheat,XL Games,Gamigo
ARK: Survival Evolved,BattlEye,Studio Wildcard,Studio Wildcard
ARK: Survival Of The Fittest,BattlEye,Studio Wildcard,Studio Wildcard
Arma 2,BattlEye,Bohemia Interactive,Bohemia Interactive
Arma 2: Operation Arrowhead,BattlEye,Bohemia Interactive,505 Games
Arma 3,BattlEye,Bohemia Interactive,Bohemia Interactive
Ashes of Creation,Easy Anti-Cheat,Intrepid Studios,Intrepid Studios
Assassin's Creed III,PunkBuster,Ubisoft,Ubisoft
Assassin's Creed IV: Black Flag,PunkBuster,Ubisoft,Ubisoft
Assassin's Creed: Brotherhood,PunkBuster,Ubisoft,Ubisoft
Assassin's Creed: Revelations,PunkBuster,Ubisoft,Ubisoft
Astellia,XIGNCODE3,Studio 8,Studio 8
Astellia Royal,XIGNCODE3,Studio 8,Studio 8
Atlantica Online,nProtect GameGuard,VALOFE,VALOFE
Atlas,BattlEye,Instinct Games,Grapeshot Games
Audition,Easy Anti-Cheat,T3 Entertainment,Hanbitsoft
Audition Next Level,Easy Anti-Cheat,T3 Entertainment,Asiasoft Corporation
Audition Online,XIGNCODE3,T3 Entertainment,T3 Entertainment
Battalion 1944,Easy Anti-Cheat,Bulkhead Interactive,Square Enix
Battlefield 1942,PunkBuster,DICE,Electronic Arts
Battlefield 2,PunkBuster,DICE,Electronic Arts
Battlefield 2042,Easy Anti-Cheat,DICE,Electronic Arts
Battlefield 2142,PunkBuster,DICE,Electronic Arts
Battlefield 3,PunkBuster,DICE,Electronic Arts
Battlefield 4,PunkBuster,DICE,Electronic Arts
Battlefield Hardline,PunkBuster,Visceral Games,Electronic Arts
Battlefield Heroes,PunkBuster,DICE,Electronic Arts
Battlefield Play4Free,PunkBuster,DICE,Electronic Arts
Battlefield Vietnam,PunkBuster,DICE,Electronic Arts
Battlefield: Bad Company 2,PunkBuster,DICE,Electronic Arts
Battlefleet Gothic: Armada 2,Easy Anti-Cheat,Tindalos Interactive,Focus Home Interactive
Beyond The Wire,Easy Anti-Cheat,Redstone Interactive,Offworld Industries
Black Clover: Quartet Knights,Easy Anti-Cheat,ILINX,Bandai Namco
Black Desert Online,Easy Anti-Cheat,Pearl Abyss,Kakao Games
Black Squad,BattlEye,NS Studio,Neowiz
Blacklight: Retribution,BattlEye,Hardsuit Labs,Perfect World Entertainment
BlackShot,BattlEye,Vertigo Games America,Papaya Play
Blade and Soul,XIGNCODE3,NCSOFT,NCSOFT
Blankos Block Party,Easy Anti-Cheat,Mythical Games,Third Kind Games
Blazing Sails,Easy Anti-Cheat,Get Up Games,Iceberg Interactive
Bleeding Edge,Easy Anti-Cheat,Ninja Theory,Ninja Theory
Bless Online,BattlEye,Neowiz,Neowiz
Bless Unleashed,Easy Anti-Cheat,Round 8 Studios,Bandai Namco
Block N Load,Easy Anti-Cheat,Jagex,Jagex
C9,XIGNCODE3,VALOFE,VALOFE
Cabal Online,Easy Anti-Cheat,ESTgames Corp.,ESTsoft
Caliber Ru,Easy Anti-Cheat,1C Game Studios,Wargaming.net
Call of Duty,PunkBuster,Infinity Ward,Activision
Call of Duty 2,PunkBuster,Infinity Ward,Activision
Call of Duty 4: Modern Warfare,PunkBuster,Infinity Ward,Activision
Call of Duty: Modern Warfare II,Ricochet,Infinity Ward,Activision
Call of Duty: Vanguard,Ricochet,Sledgehammer Games,Activision
Call of Duty: Warzone,Ricochet,Infinity Ward,Activision
Call of Duty: World at War,PunkBuster,Treyarch,Activision
Captain Tsubasa: Rise of New Champions,Easy Anti-Cheat,Tamsoft,Bandai Namco
CardLife,Easy Anti-Cheat,Freejam Games,Freejam Games
Chivalry 2,Easy Anti-Cheat,Torn Banner Studios,Tripwire Interactive
CityBattle | Virtual Earth,Easy Anti-Cheat,LLC RIKOR IMT,IDC Games
Closers,XIGNCODE3,Naddic Games,Naddic Games
Code 2040,Easy Anti-Cheat,WANIN Games,WANIN Games
Combat Arms,Easy Anti-Cheat,Nexon,Nexon
Conan Exiles,BattlEye,Funcom,Funcom
Counter Strike: Global Offensive (Competitive),ESEA,Valve,Valve
Counter Strike: Global Offensive (Competitive),FaceIT,Valve,Valve
Crossout,Easy Anti-Cheat,Targem Games,Gaijin Entertainment
CROWZ,XIGNCODE3,ROYALCROW,ROYALCROW
CRSED: F.O.A.D.,Easy Anti-Cheat,Darkflow Software,Gaijin Entertainment
Crucible,Easy Anti-Cheat,Relentless Studios,Amazon Games
Crysis,PunkBuster,Crytek,Electronic Arts
Crysis: Warhead,PunkBuster,Crytek,Electronic Arts
Darkeden,nProtect GameGuard,SOFTON Entertainment,SOFTON Entertainment
Darkfall: Rise of Agon,Easy Anti-Cheat,Big Picture Games,Audiovisual Enterprises SA
Darwin Project,Easy Anti-Cheat,Scavengers Studio,Scavengers Studio
Dauntless,Easy Anti-Cheat,Phoenix Labs,Epic Games
Day of Infamy,BattlEye,New World Interactive,New World Interactive
